souid,lat_dec,lon_dec,time,value
97,60.812603,11.341144,2017-06-07T1210,0
158,59.411474,6.081433,2017-06-07T1210,0
165,58.778569,5.679316,2017-06-07T1210,0
186,59.258102,10.408615,2017-06-07T1210,0.3
217,58.616019,5.640448,2017-06-07T1210,0
265,59.938191,10.593968,2017-06-07T1210,0.1
270,59.274217,10.465353,2017-06-07T1210,0.2
283,60.796523,11.073677,2017-06-07T1210,0
284,59.927125,10.929133,2017-06-07T1210,0.1
292,59.756426,5.456053,2017-06-07T1210,0.1
314,58.786462,5.603914,2017-06-07T1210,0
316,59.9881,11.22939,2017-06-07T1210,0
333,61.490319,6.067332,2017-06-07T1210,0
340,60.040841,5.541645,2017-06-07T1210,0
341,59.94413,10.934443,2017-06-07T1210,0
361,61.284639,10.381182,2017-06-07T1210,0
385,64.862902,11.217403,2017-06-07T1210,0
388,59.303617,11.020027,2017-06-07T1210,0.1
396,60.449594,5.218434,2017-06-07T1210,0
411,59.984378,12.128015,2017-06-07T1210,0.1
412,60.357725,11.22787,2017-06-07T1210,0.1
422,59.375675,10.143724,2017-06-07T1210,0.61
429,62.476503,6.825451,2017-06-07T1210,0
433,62.562729,7.682858,2017-06-07T1210,0
445,66.855774,13.702122,2017-06-07T1210,0
474,63.309093,10.169849,2017-06-07T1210,0
475,63.348772,10.378269,2017-06-07T1210,0
483,59.51239,10.69083,2017-06-07T1210,0.3
491,62.69401,6.688584,2017-06-07T1210,0
525,59.28363,10.497925,2017-06-07T1210,0
539,59.830095,10.800143,2017-06-07T1210,0.1
554,62.680157,6.257447,2017-06-07T1210,0
569,59.956821,6.000324,2017-06-07T1210,0
570,59.199038,10.880889,2017-06-07T1210,0
574,60.866673,8.556312,2017-06-07T1210,0.4
578,59.974048,11.24234,2017-06-07T1210,0
587,59.898657,10.839051,2017-06-07T1210,0.1
588,60.064853,11.085087,2017-06-07T1210,0.1
591,59.101346,11.236292,2017-06-07T1210,0.2
602,69.31608,16.120228,2017-06-07T1210,0
611,59.931407,10.720345,2017-06-07T1210,0.3
614,58.855176,9.581631,2017-06-07T1210,0.2
617,58.819821,5.746952,2017-06-07T1210,0
628,58.83687,5.724044,2017-06-07T1210,0
673,59.431918,10.632035,2017-06-07T1210,0.2
675,58.772478,5.808198,2017-06-07T1210,0
681,59.000615,5.61055,2017-06-07T1210,0
684,58.886208,5.67644,2017-06-07T1210,0
689,58.729814,5.656112,2017-06-07T1210,0
726,63.012381,7.965422,2017-06-07T1210,0
737,61.526316,11.859204,2017-06-07T1210,0
740,60.310365,5.275034,2017-06-07T1210,0
743,59.483584,9.778583,2017-06-07T1210,1.21
747,58.081006,7.819228,2017-06-07T1210,0
762,60.393527,5.443533,2017-06-07T1210,0
763,61.070594,10.63313,2017-06-07T1210,0
764,59.273411,10.489302,2017-06-07T1210,0
765,59.905262,10.808558,2017-06-07T1210,0.1
768,59.932995,10.761954,2017-06-07T1210,0.1
772,59.888794,10.838392,2017-06-07T1210,0
779,63.354914,10.257042,2017-06-07T1210,0
780,65.820943,13.218291,2017-06-07T1210,0
783,58.453342,8.75121,2017-06-07T1210,0
785,58.14744,8.07537,2017-06-07T1210,0
789,58.99017,5.697338,2017-06-07T1210,0.1
790,60.316955,5.296539,2017-06-07T1210,0
806,59.769024,10.246537,2017-06-07T1210,0
820,60.638123,5.025212,2017-06-07T1210,0
830,58.415977,8.714833,2017-06-07T1210,0.1
833,60.550929,5.736132,2017-06-07T1210,0
834,59.968127,10.648802,2017-06-07T1210,0.1
835,59.012071,6.054016,2017-06-07T1210,0
837,59.707868,10.155142,2017-06-07T1210,0.4
841,59.895953,10.548282,2017-06-07T1210,0.1
842,58.785589,5.729691,2017-06-07T1210,0
844,65.485542,12.237009,2017-06-07T1210,0
845,59.198943,10.232423,2017-06-07T1210,0.1
850,58.092069,7.7962,2017-06-07T1210,0
851,58.154994,8.069207,2017-06-07T1210,0
852,60.378244,10.425065,2017-06-07T1210,0.4
860,59.911952,10.943645,2017-06-07T1210,0.1
877,59.927025,10.719326,2017-06-07T1210,0
884,59.523102,10.6859,2017-06-07T1210,0.2
888,58.088817,6.629787,2017-06-07T1210,0
901,58.888121,9.29925,2017-06-07T1210,0.2
914,59.91716,10.60433,2017-06-07T1210,0.2
